BCUT2D_LOGPLOW,PEOE_VSA11,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,SMR_VSA10,SMR_VSA2,TPSA,NumAliphaticCarbocycles,NumAromaticCarbocycles,Value
-2.0466118,5.8244047,9.9679575,26.342491,0.0,22.669127,0.0,80.65,0.0,2.0,7.7
-2.3032155,0.0,13.139892,0.0,0.0,59.3913,0.0,63.24,0.0,2.0,6.6
-2.0168526,5.817863,0.0,5.098682,5.098682,33.87864,0.0,50.7,0.0,2.0,7.0
-2.2330706,11.499023,14.358372,0.0,0.0,39.6965,0.0,72.4,0.0,2.0,6.7
-2.4283326,5.647177,14.762494,4.9839787,0.0,28.830717,0.0,113.53,0.0,1.0,6.72
-2.2287323,5.817863,23.760303,5.098682,10.197364,22.929129,0.0,119.47,1.0,1.0,8.44
-1.9199122,5.647177,9.499376,5.098682,0.0,5.647177,0.0,52.31,0.0,1.0,6.82
-2.3034077,0.0,13.139892,0.0,0.0,39.13235,0.0,63.24,0.0,3.0,6.01
-2.3005717,0.0,13.139892,0.0,0.0,50.73329,0.0,63.24,0.0,2.0,5.23
-2.0864608,11.499023,9.9679575,0.0,6.42335,22.408175,0.0,74.73,0.0,2.0,6.6
-2.3031127,0.0,13.139892,0.0,0.0,55.062294,0.0,63.24,0.0,2.0,6.6
-2.1130435,5.760247,18.540749,0.0,0.0,21.725336,0.0,98.22,0.0,2.0,5.33
-2.2287872,5.817863,28.55484,5.098682,0.0,34.709755,0.0,128.11,0.0,1.0,7.34
-2.3029368,0.0,13.139892,0.0,0.0,39.13235,0.0,63.24,0.0,3.0,5.85
-2.2287326,5.817863,23.760303,18.269926,10.197364,22.929129,0.0,119.47,0.0,1.0,7.6
-2.3009102,0.0,13.139892,0.0,0.0,33.218796,0.0,66.48,0.0,2.0,4.8
-2.0716238,0.0,9.9679575,18.155224,0.0,11.635726,0.0,55.63,0.0,2.0,7.59
-2.307876,0.0,13.139892,0.0,0.0,39.13235,0.0,63.24,0.0,2.0,6.2
-2.343556,11.499023,14.358372,0.0,0.0,34.009113,0.0,59.51,0.0,2.0,7.1
-2.0468276,15.597501,13.401775,0.0,0.0,21.539299,0.0,81.43,0.0,3.0,6.96
-2.199284,5.647177,19.277893,5.2618914,5.098682,34.086464,5.2618914,108.0,0.0,1.0,6.7
-2.1085885,5.8244047,9.9679575,0.0,0.0,22.669127,0.0,80.65,0.0,2.0,7.52
-2.4282632,0.0,14.762494,0.0,0.0,28.569765,0.0,117.63,0.0,1.0,7.39
